Neutrino Energy (eV)	Electron type neutrino	electron antineutrino type	"mu, tau, anti mu, anti tau"
2.88E+07	350.118	297.838	1154.24
2.89E+07	345.506	293.274	1137.28
2.90E+07	340.958	288.692	1120.6
2.91E+07	336.481	284.469	1103.81
2.93E+07	332.064	279.837	1087.69
2.94E+07	327.697	274.427	1072.62
2.95E+07	323.361	269.755	1057.1
2.96E+07	319.046	265.477	1041.48
2.98E+07	314.755	260.26	1027.08
2.99E+07	310.501	256.417	1011.57
3.00E+07	306.296	251.776	997.123
3.01E+07	302.153	248.47	981.577
3.03E+07	298.075	244.2	967.23
3.04E+07	294.059	241.436	951.613
3.05E+07	290.09	237.605	937.308
3.06E+07	286.151	234.343	922.697
3.08E+07	282.239	231.621	907.807
3.09E+07	278.346	227.842	894.237
3.10E+07	274.482	223.98	881.005
3.11E+07	270.656	220.622	867.507
3.13E+07	266.883	217.404	854.097
3.14E+07	263.17	213.965	841.12
3.15E+07	259.515	210.306	828.577
3.16E+07	255.916	206.705	816.185
3.18E+07	252.361	203.103	804.02
3.19E+07	248.838	199.879	791.704
3.20E+07	245.339	196.897	779.382
3.21E+07	241.86	193.836	767.376
3.23E+07	238.403	190.953	755.42
3.24E+07	234.979	187.975	743.782
3.25E+07	231.599	184.996	732.347
3.26E+07	228.272	181.902	721.223
3.28E+07	225	179.349	709.742
3.29E+07	221.785	177.412	697.831
3.30E+07	218.621	174.55	687.03
3.31E+07	215.502	171.235	676.874
3.33E+07	212.414	169.309	665.528
3.34E+07	209.352	166.368	655.403
3.35E+07	206.312	163.086	645.82
3.36E+07	203.296	161.219	635.025
3.38E+07	200.306	157.59	626.185
3.39E+07	197.354	155.784	615.705
3.40E+07	194.443	152.272	607.105
3.41E+07	191.583	150.578	596.85
3.43E+07	188.778	147.12	588.516
3.44E+07	186.023	145.481	578.521
3.45E+07	183.32	142.522	569.999
3.46E+07	180.66	140.082	561.12
3.48E+07	178.039	138.507	551.54
3.49E+07	175.447	135.687	543.372
3.50E+07	172.881	133.211	535.03
3.51E+07	170.34	131.768	525.825
3.53E+07	167.821	129.553	517.561
3.54E+07	165.33	126.925	509.871
3.55E+07	162.869	124.553	502.081
3.56E+07	160.444	122.616	494.005
3.58E+07	158.057	121.122	485.627
3.59E+07	155.712	119.121	477.896
3.60E+07	153.408	117.136	470.284
3.61E+07	151.146	114.883	463.074
3.63E+07	148.923	112.594	456.035
3.64E+07	146.733	110.655	448.783
3.65E+07	144.572	108.663	441.721
3.66E+07	142.438	106.721	434.749
3.68E+07	140.325	105.196	427.503
3.69E+07	138.231	103.669	420.402
3.70E+07	136.154	102.151	413.435
3.71E+07	134.092	100.498	406.744
3.73E+07	132.046	98.7521	400.287
3.74E+07	130.013	96.6549	394.321
3.75E+07	127.996	94.9458	388.101
3.76E+07	125.993	93.5831	381.67
3.78E+07	124.008	92.8655	374.723
3.79E+07	122.037	91.6286	368.426
3.80E+07	120.085	89.6376	363.009
3.81E+07	118.148	88.3256	357.038
3.83E+07	116.228	87.9374	350.267
3.84E+07	114.323	86.3603	344.805
3.85E+07	112.434	84.6536	339.594
3.86E+07	110.559	84.3425	333.107
3.88E+07	108.695	82.7712	328.001
3.89E+07	106.841	81.5622	322.652
3.90E+07	104.994	81.0142	316.763
3.91E+07	103.152	78.9162	312.546
3.93E+07	101.31	78.8019	306.469
3.94E+07	99.469	76.7241	302.479
3.95E+07	97.6253	76.5538	296.705
3.96E+07	95.7768	74.6599	292.779
3.98E+07	93.9249	74.4721	287.267
3.99E+07	92.0693	72.4036	283.756
4.00E+07	90.2123	72.4185	278.277
4.01E+07	88.3563	70.463	274.881
4.03E+07	86.504	69.8765	270.223
4.04E+07	84.66	69.1515	265.805
4.05E+07	82.828	67.2763	262.634
4.06E+07	81.0104	67.2583	257.698
4.08E+07	79.209	65.9596	254.132
4.09E+07	77.4269	64.4343	250.877
4.10E+07	75.6676	64.4632	246.147
4.11E+07	73.9256	63.6209	242.372
4.13E+07	72.2041	62.1113	239.343
4.14E+07	70.5028	61.3212	235.672
4.15E+07	68.8145	61.1463	231.47
4.16E+07	67.1432	60.6082	227.709
4.18E+07	65.4819	59.3419	224.76
4.19E+07	63.8325	57.8256	222.142
4.20E+07	62.1937	56.7283	219.184
4.21E+07	60.5637	55.9134	216.025
4.23E+07	58.944	55.1992	212.844
4.24E+07	57.3384	54.133	210.088
4.25E+07	55.7461	52.9069	207.563
4.26E+07	54.1727	51.4833	205.302
4.28E+07	52.6215	50.0531	203.109
4.29E+07	51.0959	48.4344	201.161
4.30E+07	49.5998	46.9476	199.133
4.31E+07	48.1368	45.3326	197.28
4.33E+07	46.7118	43.9047	195.28
4.34E+07	45.3213	42.7346	193.065
4.35E+07	43.9713	41.4997	190.951
4.36E+07	42.661	40.2629	188.875
4.38E+07	41.3892	39.3032	186.557
4.39E+07	40.1571	38.3659	184.251
4.40E+07	38.9596	37.5152	181.895
4.41E+07	37.7957	36.7774	179.463
4.43E+07	36.6659	35.9375	177.169
4.44E+07	35.5649	35.3014	174.711
4.45E+07	34.4902	34.6717	172.288
4.46E+07	33.4417	34.257	169.691
4.48E+07	32.4186	34.0715	166.904
4.49E+07	31.4179	33.7565	164.29
4.50E+07	30.4389	33.5276	161.63
4.51E+07	29.4843	32.6824	159.626
4.53E+07	28.5532	31.8774	157.619
4.54E+07	27.6472	31.4041	155.317
4.55E+07	26.7653	31.0972	152.884
4.56E+07	25.9113	30.367	150.904
4.58E+07	25.0847	29.2884	149.304
4.59E+07	24.2868	28.5963	147.347
4.60E+07	23.5192	28.3404	144.978
4.61E+07	22.7799	27.7675	142.954
4.63E+07	22.0715	26.9433	141.205
4.64E+07	21.3928	26.7418	138.858
4.65E+07	20.7439	26.604	136.469
4.66E+07	20.123	25.8073	134.764
4.68E+07	19.5279	25.4065	132.689
4.69E+07	18.959	25.4836	130.159
4.70E+07	18.4138	24.6193	128.597
4.71E+07	17.8894	24.5488	126.269
4.73E+07	17.3849	24.064	124.384
4.74E+07	16.9002	23.3739	122.732
4.75E+07	16.4312	23.4826	120.311
4.76E+07	15.9778	22.6415	118.871
4.78E+07	15.5384	22.6492	116.613
4.79E+07	15.1124	22.104	114.939
4.80E+07	14.6988	21.7564	113.098
4.81E+07	14.2973	21.4589	111.239
4.83E+07	13.9078	20.8424	109.729
4.84E+07	13.5297	20.7875	107.687
4.85E+07	13.1646	20.0317	106.374
4.86E+07	12.8103	19.99	104.377
4.88E+07	12.4684	19.3787	102.977
4.89E+07	12.1384	19.2548	101.116
4.90E+07	11.8207	18.6442	99.7688
4.91E+07	11.5156	18.5638	97.9162
4.93E+07	11.2227	18.1071	96.4653
4.94E+07	10.9416	17.792	94.8973
4.95E+07	10.6723	17.6542	93.1764
4.96E+07	10.4144	17.0112	91.9849
4.98E+07	10.1676	17.084	90.1017
4.99E+07	9.9309	16.462	88.9371
5.00E+07	9.70329	16.3532	87.2843
5.01E+07	9.48496	16.0613	85.8386
5.03E+07	9.27511	15.5384	84.6481
5.04E+07	9.07219	15.5402	82.9582
5.05E+07	8.87636	15.0653	81.7696
5.06E+07	8.68683	14.6762	80.5202
5.08E+07	8.50284	14.7129	78.8701
5.09E+07	8.32413	14.2302	77.7642
5.10E+07	8.14954	13.8634	76.5681
5.11E+07	7.97977	13.897	74.996
5.13E+07	7.81396	13.5056	73.8737
5.14E+07	7.65208	13.0673	72.8225
5.15E+07	7.49387	13.0321	71.3924
5.16E+07	7.33973	12.8171	70.1655
5.18E+07	7.1891	12.3452	69.2188
5.19E+07	7.04215	12.0916	68.0766
5.20E+07	6.899	12.0954	66.6993
5.21E+07	6.75978	11.7983	65.6447
5.23E+07	6.62455	11.4	64.7125
5.24E+07	6.49328	11.1491	63.6536
5.25E+07	6.36587	11.1112	62.4023
5.26E+07	6.24243	10.9778	61.2665
5.28E+07	6.12288	10.639	60.356
5.29E+07	6.0072	10.327	59.4379
5.30E+07	5.89505	10.1901	58.3642
5.31E+07	5.78655	10.1718	57.1907
5.33E+07	5.68143	10.0281	56.1611
5.34E+07	5.57952	9.74216	55.2926
5.35E+07	5.48041	9.46546	54.4331
5.36E+07	5.38407	9.3077	53.4733
5.38E+07	5.29019	9.23909	52.4423
5.39E+07	5.19871	9.07168	51.5282
5.40E+07	5.1091	9.04869	50.4878
5.41E+07	5.02144	8.92449	49.5662
5.43E+07	4.93564	8.75628	48.7063
5.44E+07	4.8512	8.57956	47.8725
5.45E+07	4.76812	8.3313	47.1275
5.46E+07	4.68633	8.18865	46.2941
5.48E+07	4.60595	8.0131	45.5103
5.49E+07	4.52666	7.89147	44.6893
5.50E+07	4.44855	7.78002	43.8745
5.51E+07	4.37165	7.6909	43.0533
5.53E+07	4.29589	7.54905	42.3007
5.54E+07	4.22139	7.48696	41.4837
5.55E+07	4.14817	7.33691	40.7697
5.56E+07	4.0763	7.25476	40.0026
5.58E+07	4.00588	7.12635	39.2962
5.59E+07	3.93671	7.00214	38.5998
5.60E+07	3.86916	6.83884	37.9564
5.61E+07	3.80306	6.74251	37.2595
5.63E+07	3.73842	6.61983	36.6023
5.64E+07	3.6754	6.48183	35.9734
5.65E+07	3.61402	6.37147	35.3295
5.66E+07	3.5541	6.25334	34.706
5.68E+07	3.49558	6.15107	34.0791
5.69E+07	3.43866	6.01381	33.4992
5.70E+07	3.38313	5.90034	32.9075
5.71E+07	3.32906	5.73703	32.3774
5.73E+07	3.27595	5.64943	31.7835
5.74E+07	3.22417	5.51681	31.2461
5.75E+07	3.17349	5.40383	30.7004
5.76E+07	3.12378	5.31084	30.1461
5.78E+07	3.07506	5.20953	29.6112
5.79E+07	3.0271	5.22116	28.9744
5.80E+07	2.97997	5.1261	28.4552
5.81E+07	2.93349	5.05273	27.9252
5.83E+07	2.88768	4.9668	27.4183
5.84E+07	2.84233	4.82327	26.9797
5.85E+07	2.79754	4.68594	26.5452
5.86E+07	2.75319	4.535	26.1346
5.88E+07	2.70938	4.44336	25.6748
5.89E+07	2.6659	4.38725	25.1894
5.90E+07	2.62299	4.33802	24.7068
5.91E+07	2.58034	4.30524	24.2175
5.93E+07	2.53829	4.19917	23.8108
5.94E+07	2.49658	4.1281	23.3784
5.95E+07	2.4555	3.92859	23.0833
5.96E+07	2.41483	3.84944	22.6768
5.98E+07	2.37467	3.84829	22.201
5.99E+07	2.33525	3.81156	21.7691
6.00E+07	2.2962	3.70603	21.4145
6.01E+07	2.25787	3.56185	21.1066
6.03E+07	2.22032	3.49581	20.7284
6.04E+07	2.18339	3.48711	20.3006
6.05E+07	2.14711	3.47622	19.8827
6.06E+07	2.11168	3.39786	19.5396
6.08E+07	2.07703	3.2509	19.2722
6.09E+07	2.04303	3.22359	18.8925
6.10E+07	2.00988	3.23812	18.4778
6.11E+07	1.97733	3.17884	18.144
6.13E+07	1.94566	3.04207	17.8943
6.14E+07	1.91463	3.02719	17.5293
6.15E+07	1.88435	3.0148	17.1684
6.16E+07	1.85471	2.93952	16.8768
6.18E+07	1.82562	2.82633	16.6297
6.19E+07	1.79731	2.78503	16.3166
6.20E+07	1.76957	2.81857	15.9349
6.21E+07	1.74233	2.70952	15.702
6.23E+07	1.71561	2.62605	15.4494
6.24E+07	1.68926	2.6564	15.0891
6.25E+07	1.66348	2.59577	14.8255
6.26E+07	1.63808	2.48459	14.6181
6.28E+07	1.61299	2.4884	14.3016
6.29E+07	1.58825	2.45732	14.0257
6.30E+07	1.56384	2.34568	13.8358
6.31E+07	1.5397	2.35608	13.5293
6.33E+07	1.51576	2.3334	13.2614
6.34E+07	1.49214	2.22307	13.0865
6.35E+07	1.46875	2.23493	12.7945
6.36E+07	1.44554	2.19647	12.5581
6.38E+07	1.42255	2.10416	12.3806
6.39E+07	1.3998	2.12414	12.0957
6.40E+07	1.37729	2.07821	11.8817
6.41E+07	1.35488	1.9957	11.7091
6.43E+07	1.3328	2.03162	11.4227
6.44E+07	1.31088	1.93796	11.2706
6.45E+07	1.28922	1.93437	11.0329
